alpha,beta,omega,split
1.571927804982129,0.2557014920646667,1.3160242368019797,test
0.7505793931734083,0.010556033683053334,0.8704531445702283,train
1.093335909657314,0.2680987182411942,1.1211559256884278,train
1.865383649324082,0.10707186195580536,1.3905496601976892,train
1.3421011513253345,0.1888063305854244,1.2080180215828644,test
1.367503872389409,0.28137062829622095,1.2416194668459084,train
0.7911946593361904,0.02786357802024391,0.8997879254731757,train
1.2890333729268129,0.1681235017960798,1.1801767141213086,test
1.28515209109238,0.0744430726944213,1.1543601229693072,train
0.633403460369408,0.21365177094379015,0.8747984189897569,test
1.9729140396900593,0.24716731561046185,1.4577475749016033,train
1.3570934006836617,0.08141233873695268,1.1868839858564966,train
0.5096133239964653,0.25936942566813886,0.817180462279068,train
1.6589738018380829,0.061449906454120906,1.3036530311721652,train
1.9673985707602186,0.1492209580571278,1.4348533488260509,train
1.3848050424814258,0.04807195724764795,1.1902143798930642,train
0.9795224544239975,0.09917984509294833,1.0197034458157213,train
0.7812615735916774,0.1184967975019692,0.9247574143553725,train
1.508789950875304,0.21162740536177047,1.2806777534916176,train
0.7926610976852075,0.10188653456833978,0.924925237872685,train
1.3665318387767889,0.16360004429303088,1.2111487219024986,train
1.4033587645694388,0.19888286180695156,1.2356715549973607,train
1.9436346396865716,0.23786324347228707,1.4456030376130513,train
0.6083978982948152,0.09512614447263794,0.8172066424011789,train
1.2499592354879279,0.026341337327528754,1.1258869603223256,train
1.6161462189239724,0.07874510229352016,1.2911931335019566,train
0.7658401107119882,0.1683246233701196,0.9322009689753445,train
1.0821000976767787,0.2645264047516402,1.1151529063784742,test
0.594343247682457,0.200688011986067,0.8474677012022668,train
1.5888212956636651,0.18611085503590008,1.3049156010682053,train
0.6316518301392302,0.0192140032698336,0.8027618457378385,train
1.0926375625369513,0.15443067756684434,1.0901999084619998,test
1.8102839466810983,0.10596152143841961,1.3702766491729552,train
1.2084505051250172,0.11075076372842524,1.1294460563706172,test
1.8689329004613284,0.2882225331955257,1.4313895942734582,train
1.6488756766083086,0.057405547441265324,1.2987884698070258,train
1.8729859401676487,0.035626638149966916,1.3772832014744292,train
0.6911045135733596,0.09847585659613455,0.8673468135163628,train
0.610344357995948,0.1963825192633297,0.8554298260893296,train
0.605489380353827,0.08818648958712381,0.8126270143613759,train
1.803281441520979,0.21468804952178916,1.3910123366598912,train
1.4511049690211648,0.21157664217096817,1.2580802939548306,train
1.2448575406982796,0.13707628205806838,1.1525983907132586,train
0.7453151242947205,0.252062794914015,0.9491378083843302,train
1.5106001565909106,0.10389722721463641,1.255018758679161,test
0.9770260817686971,0.19072620013546643,1.0468250060232795,train
1.5663197948989174,0.16660666199928367,1.2914237057491176,train
1.1905329933009872,0.030791295574649387,1.100498666191102,train
1.2612047908167907,0.11069547303076037,1.1525659655931557,train
1.6844985986898056,0.1733101802203888,1.3378648692360542,test
0.6391182132850711,0.29305665897391914,0.9047651554460474,train
1.3681377549852538,0.23725897759300393,1.2315588625872065,train
0.7958524209438028,0.14946302887210944,0.9429982846703197,train
1.7122051277203523,0.06697643704528355,1.3252417625940363,train
1.2332690541938898,0.08828911633159016,1.134780116421457,train
1.9830430000517296,0.022302966356431527,1.4135357865853162,train
0.7744149870135781,0.1786584355123303,0.9399664074803016,test
1.9445287101864008,0.1330267657916099,1.4237801496364857,train
1.7013755549129135,0.20097739671239478,1.350753628599926,train
1.2218907448629028,0.16412413460396166,1.1504047239452024,test
1.7203010962694532,0.13086740007468653,1.3418047870353063,train
1.4042733578616744,0.11208753273757341,1.2135189539377096,train
1.4826815959870703,0.021780451491062405,1.2236606937377008,train
1.8705361440610835,0.29506045046786616,1.4335075398462915,train
0.5979056246169371,0.031807213661045906,0.78635296817854,train
1.752482305937601,0.017385166049890252,1.328236626398691,test
1.0727221699493583,0.07243784622175625,1.0572666853928838,train
0.9883184241510566,0.04949401153355861,1.0101078568863064,train
1.9910401568149765,0.2403855227654457,1.462387647185078,train
1.6717857531145672,0.053972602693589805,1.3067505145026284,train
1.2283027081693816,0.10858551942171313,1.1376356918546826,train
1.1339425946371717,0.013842030485219026,1.069239592732654,train
1.8162933588076942,0.28015503543485054,1.4110994000417985,train
0.6302223083223413,0.10310171442370682,0.8335129195014906,test
1.5626281353707991,0.2544347396841451,1.3121860591834815,test
1.683731935557719,0.2889611039903666,1.365544247261779,train
1.6987945695741722,0.22096108603721445,1.3546833201202617,train
0.9834300871097477,0.08561513773357557,1.0175549125161447,train
1.694958774119082,0.1527221876736019,1.3370245643329772,train
0.8379926628134977,0.2369690623144881,0.9918332666096955,train
1.0434619257268536,0.2126073855447638,1.084077046087213,train
1.1261721683065697,0.24999579248693268,1.1310345393852448,test
1.3121149754452468,0.16792653038932215,1.1898018110563635,train
0.6689204983108358,0.20067575549342856,0.8903806376292768,test
1.1104217009589592,0.11532690497523725,1.0865424781814081,train
0.5004510351603844,0.06550782330165847,0.7354593825694453,train
1.6165710895210985,0.21219967707443682,1.3219784613556267,train
1.7778138683513856,0.010835878905602685,1.336089052527057,test
0.7083975186802963,0.23732547297682455,0.9246306467670191,train
1.5556786539001968,0.012097633915440158,1.2505387851388807,train
1.7316546325919582,0.18887226698316775,1.3589767566351192,train
1.9727424843076906,0.18243801669159526,1.4434107521490345,test
1.76568584355309,0.04059860203164059,1.3389798642705293,test
1.1361597281660192,0.18173866462199695,1.1179479017451792,train
1.9695330627644847,0.22977564834927086,1.4526597076970391,train
1.9609766072785328,0.16543766788284012,1.4358083465976323,test
1.2555154688008685,0.2051005596785641,1.1763770274405452,test
1.6301698078758577,0.21551479668459508,1.3279100319864616,train
1.8707565015097443,0.06971386589178695,1.384460931115455,test
1.2142206079531297,0.27871878685986,1.1766455545864065,train
1.7956793616456275,0.10498702022195448,1.3647136933381785,train
1.5523528490928091,0.17927356726697857,1.289202791560059,train
0.9408863839618364,0.039923037611288306,0.9833743021424382,train
1.6514784049752103,0.2989574549413476,1.3559476975687323,test
1.3560271787892486,0.1997009214772906,1.2167075949563624,test
0.6407677301499594,0.1439178337057734,0.853699480529725,train
1.0870706394569962,0.17417472642443244,1.093615649022086,train
0.6106115200967088,0.017884613464875906,0.7889971170397387,train
1.2142504448254934,0.07962309735844009,1.124303843466371,train
1.1428094122143857,0.2926598264092996,1.1496561670174785,train
1.135606164455671,0.03349914080844495,1.0760576818909509,train
1.3794505303861766,0.051093259273251215,1.1887623590580376,train
0.6840359902641102,0.17619240573863879,0.8898145853499718,train
1.900653364935264,0.23445191634892487,1.4299563647019975,train
1.5260756721125495,0.2573332164824242,1.2989303615707506,train
1.7356720375891574,0.25975620202424327,1.3775253228003168,train
1.8452018483956398,0.23046442535741327,1.4096112873327151,train
1.374980070385214,0.11082074336654911,1.2010481348250062,test
0.560327331356901,0.17865853463244247,0.8190157637355457,test
1.567230236176637,0.2458057043477892,1.3117986992457566,train
1.3535387813950372,0.05026529403919656,1.1775796357934647,train
1.7389358332555989,0.03361196621485317,1.327215628727329,train
1.298240710211516,0.14298970679505432,1.1770620286408087,train
1.7198661430462887,0.09999869756428124,1.3354782366417859,test
1.9955154396087376,0.011083071707650853,1.4152750641965606,train
1.0258322170518321,0.15989042012988075,1.0609933909234233,train
0.7565321600310111,0.11816355516240501,0.9112352523167311,train
1.0875121991808543,0.2661090178591761,1.1180101038969554,train
1.6295749847985146,0.10691104745268258,1.3024777763977207,train
1.1588433977874597,0.20217460843862317,1.1337839729943788,train
1.3825701641438222,0.174742730324214,1.2207306329003578,train
0.6910377078825065,0.09690331694006625,0.8667059767915974,test
1.5891852664009705,0.1456074963635399,1.2951959398038515,train
0.9201236027997493,0.11662138862779331,0.9959712085196267,test
0.7859263406060273,0.07889995449262796,0.913160107231558,train
1.794424997874792,0.03555553599369746,1.3484388171049224,test
1.3466192316808911,0.025115184485726277,1.1676849450902596,train
1.2267484135193756,0.0745839054705192,1.128687412784685,train
1.8482356478727269,0.03416259268330064,1.3679122330335127,test
0.6290186540915039,0.053683061112505585,0.8134109399634437,train
1.5442316755113392,0.046226766792536386,1.2549828787197754,train
0.9919734346469038,0.11825667526808292,1.031740380511866,train
0.7631146249776216,0.07907041679258887,0.9006709432257599,train
1.5121979749509182,0.011278571233508495,1.2328074700170137,train
1.0442329262944041,0.01954451413860757,1.0282799438739854,train
0.9948437487409038,0.29711554845298116,1.0854411254722895,train
1.9155166478437817,0.08109190022808561,1.4030742358032426,train
0.7989475110192292,0.021840004403930274,0.9019498715867651,train
1.2682604867566025,0.19154283904435282,1.1780112623237284,train
0.5360198010070238,0.16997590374324825,0.8006920685071619,train
0.7450521367054342,0.12276694057287664,0.9065842679309069,train
1.825128100450343,0.22266623176590455,1.4006762565589135,train
1.6838713223790145,0.2817250414510064,1.3639164781630149,train
1.3352532350809854,0.12494302319450154,1.187881779424213,train
0.8336800939870403,0.11884448980546629,0.9526405291096991,train
1.3366213739319597,0.15911317088826757,1.1975722606321018,train
0.5182197891704188,0.07799806892014569,0.7528953966266988,train
1.569490446406881,0.06045243414373156,1.2685786512176602,test
1.5751260208455922,0.12271749467345838,1.2845650264662742,train
1.4690675353495322,0.20633551795237037,1.263780452519618,train
1.4170080264128018,0.014283301426640537,1.1944223544004922,train
0.6105746489368062,0.050134621826081846,0.800682547164515,test
0.8696089535764633,0.24435135519746917,1.0098641869213614,train
1.3615670721468978,0.10632213457553213,1.1943692714216674,train
1.0912801490433464,0.17215521512550117,1.0949313316823077,train
1.9880348428721675,0.026093168786837873,1.4161978367642754,train
1.885618036062772,0.1697243179097204,1.410181738828226,train
0.7280118537838056,0.01804404707407243,0.8602757390879906,test
1.384940888974296,0.07010494650131531,1.1959187682258208,test
1.5443226591551849,0.13989007157629493,1.2764039832294336,train
0.7048151214513292,0.16190556743572385,0.8965058503286576,train
0.9688934706517569,0.04633943295395236,0.9994857913866663,train
1.5738767703882415,0.143120642388925,1.2886887923918078,train
1.851662140134255,0.23634021544432468,1.4132647841759096,train
1.012613975309203,0.21467835050436612,1.0699483067287021,train
0.8584155675369209,0.11703309681600305,0.9648326250926308,train
1.7326880040953219,0.1538819575750242,1.351328011033147,train
1.3774740203385174,0.2417108098512249,1.2364675282353603,train
1.2148826325586557,0.08632105814717074,1.1261357601218356,train
0.8842250321418386,0.050663938731376285,0.9573524786678059,train
0.6089875229724815,0.2910120944817704,0.8873114250620268,test
0.526837131345463,0.2631721310391071,0.8292859442182172,train
1.3699552708461422,0.26351447576409326,1.2386825162268311,train
0.7866654101901123,0.14837995583253402,0.9377403555098935,train
1.9632994676402307,0.020252105574653567,1.4060448148059832,train
0.661215842579221,0.2254594173992102,0.8945698260935442,train
1.1781331824906627,0.23914577896003752,1.1517038714812238,train
1.0919896956064399,0.2898879286974654,1.1267375811168026,train
0.8484672129282964,0.020376362215025777,0.9284922582025976,train
1.6231335875059025,0.24571538090613385,1.3328116969958141,train
1.4655571431204655,0.10767145529469523,1.2376375033574707,train
1.5886365275778047,0.20331101699086937,1.3091834812907595,train
0.6242128638447421,0.2711624858562893,0.8887112349653711,train
1.0291151235446077,0.08296925035719954,1.0390752479156118,test
1.2797496115013476,0.2980941836786551,1.2090325249781022,train
1.1400817155953615,0.020976120509733347,1.0743243979545274,train
0.5609263428091178,0.043267519861521074,0.7664115373725815,train
0.7910411823511898,0.14939654492453208,0.9404042037671286,train
1.9175369724569398,0.21849573679751846,1.4321696694731356,train
0.7438545871299773,0.2786832403673727,0.9558302963075316,train
1.778078498694163,0.25570871978952253,1.3917822339058754,train
1.7332057385966602,0.29144886906137973,1.3840904168765962,train
1.086940635617162,0.13799400543315926,1.0825669552388253,train
1.2001752797663952,0.12783146368358295,1.1304970219829036,train
1.7360027114748788,0.1809405267653923,1.3587069485923144,train
1.5210294883553188,0.21066520333330765,1.285168975998045,train
1.7554156046436065,0.2718355350005995,1.3875024773643936,test
1.6363948787481857,0.18168679347287203,1.3218505117871004,train
1.536907219160907,0.27273070537880484,1.3067852167977243,test
1.8694611590103172,0.13054672609569146,1.3965224435030674,test
1.7342106996418831,0.23369394616388098,1.3707032726279005,train
0.7685940313744899,0.2994395624525733,0.9750316940590531,train
1.6223364126218673,0.0328432143711731,1.2823305366150737,train
0.6300219846718143,0.2151007707137035,0.8733029899678137,train
1.1387843604410324,0.27191635907594386,1.1422522867738676,train
1.0951278307301378,0.2694023622605741,1.122313793666276,train
0.803252140963227,0.26309999124685945,0.9827859308422229,train
1.906857662953984,0.090836675437672,1.4020833770723953,train
0.6421650175417505,0.1278272624008783,0.8494880318930289,train
0.5073491224828635,0.15734804189087284,0.7775540307130535,train
0.9843812054959675,0.29120511564876855,1.0788797942521364,train
1.986117077361833,0.08701314550305234,1.4293239869006993,train
0.8970426925826598,0.20154386924404485,1.010111331016983,train
1.7460413982765965,0.23033595102223747,1.374173203312044,train
0.7596704555306981,0.05253958725377434,0.8900808301754318,train
1.3795675321975667,0.2623997009911244,1.2423336917542824,test
1.937614002769088,0.1565164166205138,1.4258276009787105,train
1.5747698518487105,0.2873258041817425,1.3245972533696848,train
1.9707619627677295,0.26801043561595467,1.4617550433316986,train
1.3618349736335595,0.2847573018408139,1.2399845195271364,test
1.975002059830132,0.06301720406825798,1.4201521341977337,test
1.7555705475800059,0.25204822942204347,1.3828435526125256,train
1.6673723391528923,0.26021761095368784,1.3527474991455757,train
1.8327348303672504,0.2847107108706421,1.4179385658587427,train
1.447237275892425,0.19836864198536505,1.253055747958648,train
1.034546819564857,0.11687429821902749,1.051644843078545,train
1.2924236600854895,0.18019870512754171,1.1849959534721048,train
0.8397505935235454,0.05578580776022315,0.9351860503162157,train
1.666316185822558,0.29889399091812796,1.3614106428673356,train
0.7551177524222997,0.2194437969048283,0.9435667795473061,train
1.3657969234798861,0.10847144578073352,1.196649949516276,train
1.3038483943686714,0.2764736677079666,1.214111018539688,test
1.5078542052165358,0.21659335368418617,1.28160213986742,train
1.640729897997875,0.10660611774837936,1.3067197726408595,test
0.6647418290958633,0.27952150658291,0.9138396431220678,test
1.4374114425019753,0.10405914330070457,1.2253567512108885,train
1.120933823697789,0.10278869680058302,1.0877962150446252,test
1.4213021535019306,0.018620161807871384,1.1974341273161926,test
1.540976814719743,0.21326334693132276,1.2935262986475051,train
1.378219378640933,0.04132045731555322,1.1856241794914972,train
1.5993291152880729,0.024114951525240277,1.2710473347518225,test
1.2800378858069719,0.20025964932190954,1.1853906023245577,train
1.1943017136939076,0.29082300999829236,1.171242751307679,train
0.9301532981728028,0.028611124241300967,0.9742530143354776,train
0.8437275049950599,0.2303555624712335,0.9925050544368824,train
1.5429531591377277,0.07631154269352612,1.2618818164747019,train
1.5435670292186865,0.25975758415367667,1.3062254304689327,train
0.7932237694648945,0.013521842858923612,0.8957204823887536,test
1.9577561249166682,0.06630328281943906,1.414803228054833,train
1.506726170434094,0.29279212860353904,1.2996944327427287,train
1.2968241848147395,0.17686323770177,1.185904774554625,test
1.7617630273174514,0.048198544379205774,1.33936853588882,train
1.2297806499547324,0.01136861357640127,1.1124087632355326,train
1.2139173051504901,0.12861934218250595,1.1367610198937939,train
0.8874116001163053,0.13598366801875683,0.9860431306392267,train
0.7342032220860385,0.16451298496979871,0.9137035102602886,train
1.5674308683213762,0.20743139458730314,1.3021600966086997,train
1.7661664523585638,0.05465279006871405,1.3425657363384322,train
1.5166981671439386,0.1023251868194959,1.2571408039290113,train
1.0532322750439254,0.025365859240597394,1.0345045441931502,train
1.3635831368285782,0.2989861209739241,1.2437296671494698,train
1.345118710510985,0.1329165902973183,1.1940832744098835,train
1.9048491252114408,0.20676068220567498,1.4250917912796786,train
1.081511317933534,0.09272633207464338,1.066697726916577,train
0.7471739780990052,0.05124318432711774,0.8826024925519546,test
1.8153993399935162,0.06612502067950447,1.3634718675468889,train
1.8420927453303026,0.014405199587742931,1.3608156873149078,train
0.572398392502843,0.2096007943281441,0.8368822177302772,train
0.7973360462592236,0.2970099670829647,0.9891125166807788,train
1.4544254803991898,0.036564271758161425,1.2160843664602277,train
1.683267733452257,0.05791959723751765,1.312098502863263,train
1.4100387601108255,0.24249207950549273,1.2497660015644405,test
0.7873837941898374,0.1945527993388913,0.9519257365306295,test
0.6764623628932986,0.2848619452486084,0.922004731604815,train
1.2589589510977754,0.11576649900780453,1.1529091000235356,train
1.723265609988517,0.13413808519147763,1.343588980590574,train
0.8256007716081892,0.09305673231351591,0.9393882435122858,train
0.6126990423091754,0.24327286601984274,0.872146001145416,train
1.326567493689957,0.06437973131294723,1.1697457029963867,train
0.787725722202882,0.1201422572136222,0.9288108325026795,train
0.6011355807264044,0.20122543086407985,0.8517010511773702,train
1.6598968970619024,0.2748814000461393,1.3535038684375131,train
1.7318399091168837,0.24572058871315325,1.372759419938442,train
1.097503326647353,0.03463915860314145,1.0585391801339095,train
0.9411145402524266,0.2605830533994015,1.0493573076901654,train
0.9156813341554366,0.2394844430548642,1.030646340025067,train
1.0414571387425262,0.14651296656643142,1.0641470210274602,train
1.3653614646743932,0.17059521174208722,1.2125714958585105,train
1.2917301171687159,0.13853183892217563,1.1730829484563627,train
1.0330237717590445,0.026084075211559365,1.0249165415402917,test
1.4561314688572722,0.10288175781783793,1.2327642401380738,train
1.51365116292119,0.2747945123027174,1.2983173115741173,train
